mode,hour_of_day,thermal_fuel_usd_per_h,thermal_co2_tons_per_h,monetized_carbon_usd_per_h,social_cost_usd_per_h,sum_pg_thermal_mw,P_pv_dispatch_mw,P_wind_dispatch_mw,pv_curtailment_mw,wind_curtailment_mw
fuel_only,0,123321.1415219308,3327.7932326460077,282862.4247749107,406183.5662968415,4175.040057884646,18.535212554394043,48.42472956095701,4.3925751924689393e-11,4.3925751924689393e-11
fuel_only,1,121661.28676971729,3293.8506735131664,279977.30724861915,401638.59401833644,4132.455818373674,58.40512725166946,51.13905437465331,4.077094217791455e-11,4.077094217791455e-11
fuel_only,2,119975.47787663015,3259.2026280150776,277032.2233812816,397007.70125791174,4088.9864776488093,93.04493578755306,59.968586563636585,3.8340886021615006e-11,3.8333780594257405e-11
fuel_only,3,119044.79798781253,3239.9981453010796,275399.8423505918,394444.64033840434,4064.8925874877946,119.68431234098824,57.423100171217676,3.7118752516107634e-11,3.7118752516107634e-11
fuel_only,4,117931.39805893021,3216.9510006851156,273440.8350582348,391372.23311716504,4035.977704480205,142.8951608335734,63.12713468621938,3.581135388230905e-11,3.581135388230905e-11
fuel_only,5,117716.53956149812,3212.494351473301,273062.01987523056,390778.5594367287,4030.386404876199,145.9527294683678,65.66086565543495,3.561240191629622e-11,3.558398020686582e-11
fuel_only,6,118261.88147389382,3223.800195619763,274023.01662767987,392284.8981015737,4044.570685239013,149.9999999999639,47.42931476102573,3.609557097661309e-11,3.610978183132829e-11
fuel_only,7,119534.70271987944,3250.1141002342997,276259.69851991546,395794.4012397949,4077.5840361804094,138.21654922095672,26.199414598636288,3.751665644813329e-11,3.753086730284849e-11
fuel_only,8,120660.31405992585,3273.2993200001556,278230.4422000132,398890.75625993905,4106.672147884327,118.18107157892305,17.14678053674925,3.8980374483799096e-11,3.8976821770120296e-11
fuel_only,9,121633.05591183575,3293.271908362927,279928.11221084883,401561.1681226846,4131.729701239,91.80853899365597,18.461759767344635,4.0472514228895307e-11,4.0468961515216506e-11
fuel_only,10,122928.30932798555,3319.775446282228,282180.91293398937,405109.22226197494,4164.980965594701,58.28059254655694,18.738441858742657,4.282441068426124e-11,4.282441068426124e-11
fuel_only,11,124325.92323672355,3348.2582559465163,284601.9517554539,408927.8749921775,4200.715418733585,19.707988333268037,21.576592933154817,4.624567395694612e-11,4.624567395694612e-11
fuel_only,12,125342.58654497146,3368.9031219927924,286356.76536938734,411699.3519143588,4226.616409789196,0.08491810313396447,15.298672107671676,4.9626733278351765e-11,4.96278573791642e-11
fuel_only,13,125498.38591951075,3372.061371528264,286625.21657990245,412123.6024994132,4230.578740974609,0.0,11.421259025386554,0.0,3.2023628193655895e-10
fuel_only,14,125344.5104602398,3368.9421309230174,286360.08112845646,411704.59158869623,4226.665350433737,0.0,15.33464956626245,0.0,2.8961721909581684e-10
fuel_only,15,125201.34624364554,3366.038745524071,286113.29336954607,411314.6396131916,4223.02277122823,0.0,18.977228771770566,0.0,2.546087785049167e-10
fuel_only,16,125416.0062891787,3370.3916137698393,286483.28717043635,411899.29345961503,4228.483867560794,0.0,13.516132439207762,0.0,3.0518343407948123e-10
fuel_only,17,125279.23821397116,3367.6185553714126,286247.5772065701,411526.8154205412,4225.004796246685,0.0,16.995203753314307,0.0,2.7410607117417385e-10
fuel_only,18,125075.6200756714,3363.487991076194,285896.47924147645,410972.09931714786,4219.822601828215,0.0,22.177398171785978,0.0,2.2222224060897133e-10
fuel_only,19,125340.25812450444,3368.855910818827,286352.75241960026,411693.01054410473,4226.557178932054,0.0,15.442821067945292,0.0,2.886402228341467e-10
fuel_only,20,124483.53007000167,3351.462778739593,284874.3361928654,409357.86626286706,4204.7358040670815,0.0,37.26419593291736,0.0,8.817835350782843e-11
fuel_only,21,122826.92289091127,3317.7045948313958,282004.89056066866,404831.81345157995,4162.382881185312,0.0,79.61711881468793,0.0,7.479172836610815e-11
fuel_only,22,122541.3563375754,3311.868414479215,281508.8152307333,404050.1715683087,4155.060825683197,0.0,86.93917431680498,0.0,8.184031230484834e-11
fuel_only,23,122521.021521388,3311.452636792326,281473.4741273477,403994.49564873567,4154.539192146498,0.5216335080926379,86.93917434541054,4.2505998720798743e-11,4.250466645316919e-11
social_pi_nom,0,165241.089718075,2293.6577433620128,194960.90818577108,360201.9979038461,4175.04005788461,18.53521255441263,48.42472956097561,2.5337953957205173e-11,2.5330848529847572e-11
social_pi_nom,1,164262.20909052028,2259.715184227625,192075.7906593481,356337.9997498684,4132.455818373656,58.405127251682195,51.139054374666046,2.8038016353093553e-11,2.8038016353093553e-11
social_pi_nom,2,163271.5281740139,2225.0671387304874,189130.70679209143,352402.2349661053,4088.9864776488025,93.04493578755945,59.96858656364298,3.1946001399774104e-11,3.1938895972416503e-11
social_pi_nom,3,162726.13908629303,2205.8626560186444,187498.32576158477,350224.4648478778,4064.8925874877923,119.68431234098964,57.42310017121907,3.572608875401784e-11,3.572608875401784e-11
social_pi_nom,4,162075.12353626563,2182.815511406134,185539.31846952141,347614.44200578704,4035.977704480215,142.89516083356918,63.127134686215136,4.0046188587439246e-11,4.005329401479685e-11
social_pi_nom,5,161949.67676474008,2178.358862195132,185160.50328658623,347110.1800513263,4030.3864048762084,145.95272946836252,65.66086565542965,4.0898839870351367e-11,4.0884629015636165e-11
social_pi_nom,6,162268.19466870875,2189.664706340689,186121.50003895856,348389.69470766734,4044.5706852390176,149.99999999995936,47.42931476102119,4.064304448547773e-11,4.065014991283533e-11
social_pi_nom,7,163013.09201583284,2215.978610952881,188358.18193099488,351371.27394682774,4077.584036180407,138.21654922095604,26.199414598635634,3.8198777474462986e-11,3.8184566619747784e-11
social_pi_nom,8,163673.548837952,2239.163830717342,190328.92561097408,354002.47444892605,4106.672147884323,118.1810715789265,17.14678053675269,3.552713678800501e-11,3.553779492904141e-11
social_pi_nom,9,164245.58973443872,2259.1364190792488,192026.59562173614,356272.1853561748,4131.729701238984,91.80853899366397,18.461759767352635,3.247180302423658e-11,3.246825031055778e-11
social_pi_nom,10,165009.11472486332,2285.6399569988107,194279.3963448989,359288.51106976223,4164.980965594676,58.28059254657075,18.738441858756477,2.901145990108489e-11,2.900435447372729e-11
social_pi_nom,11,165835.29097909125,2314.122766665333,196700.4351665533,362535.72614564456,4200.7154187335345,19.707988333288963,21.576592933175746,2.532019038881117e-11,2.531663767513237e-11
social_pi_nom,12,166437.76573033727,2334.767632715934,198455.24878085437,364893.01451119164,4226.6164097891415,0.08491810315902848,15.29867210769674,2.456272685247285e-11,2.4563462375226663e-11
social_pi_nom,13,166530.20257822316,2337.925882385314,198723.70000275166,365253.90258097486,4230.578740974306,0.0,11.421259025696198,0.0,1.0592415833343694e-11
social_pi_nom,14,166438.90702481958,2334.8066417607038,198458.56454965982,364897.47157447936,4226.665350433462,0.0,15.334649566541117,0.0,1.0949463558063144e-11
social_pi_nom,15,166353.99210930738,2331.9032563413393,198211.77678901385,364565.7688983212,4223.0227712279875,0.0,18.97722877201424,0.0,1.0935252703347942e-11
social_pi_nom,16,166481.32253850382,2336.2561246170844,198581.77059245217,365063.093130956,4228.4838675605,0.0,13.516132439502105,0.0,1.0841105790859729e-11
social_pi_nom,17,166400.1890730058,2333.4830661998953,198346.0606269911,364746.2496999969,4225.004796246421,0.0,16.995203753577435,0.0,1.0977885267493548e-11
social_pi_nom,18,166279.44056799402,2329.352501875466,197994.9626594146,364274.40322740865,4219.822601828007,0.0,22.177398171997478,0.0,1.0722089882619912e-11
social_pi_nom,19,166436.38448382952,2334.720421655919,198451.2358407531,364887.6203245826,4226.557178931776,0.0,15.442821068222978,0.0,1.0954792628581345e-11
social_pi_nom,20,165928.60692924197,2317.327289470638,196972.81960500422,362901.4265342462,4204.735804067006,0.0,37.26419593299713,0.0,8.405720564041985e-12
social_pi_nom,21,164949.2748380291,2283.569105561581,194103.3739727344,359052.6488107635,4162.382881185277,0.0,79.61711881472743,0.0,3.5285552257846575e-11
social_pi_nom,22,164780.79691660943,2277.7329252083186,193607.2986427071,358388.0955593165,4155.060825683143,0.0,86.93917431685826,0.0,2.8563817977556027e-11
social_pi_nom,23,164768.80365944566,2277.3171475069844,193571.95753809367,358340.76119753934,4154.539192146463,0.5216335081094365,86.93917434542733,2.5707325157497962e-11,2.5707436179800425e-11
